TEF,1,Scyther
TEF,2,Pineco
TEF,3,Seedot
TEF,4,Nuzleaf
TEF,5,Shiftry
TEF,6,Shroomish
TEF,7,Breloom
TEF,8,Roselia
TEF,9,Roserade
TEF,10,Turtwig
TEF,11,Grotle
TEF,12,Torterra ex
TEF,13,Shaymin
TEF,14,Cottonee
TEF,15,Whimsicott
TEF,16,Deerling
TEF,17,Sawsbuck
TEF,18,Grubbin
TEF,19,Dhelmise
TEF,20,Bramblin
TEF,21,Brambleghast
TEF,22,Scovillain ex
TEF,23,Rellor
TEF,24,Rabsca
TEF,25,Iron Leaves ex
TEF,26,Ponyta
TEF,27,Rapidash
TEF,28,Slugma
TEF,29,Magcargo
TEF,30,Victini
TEF,31,Heatmor
TEF,32,Litten
TEF,33,Torracat
TEF,34,Incineroar ex
TEF,35,Turtonator
TEF,36,Sizzlipede
TEF,37,Centiskorch
TEF,38,Gouging Fire ex
TEF,39,Totodile
TEF,40,Croconaw
TEF,41,Feraligatr
TEF,42,Carvanha
TEF,43,Sharpedo
TEF,44,Keldeo
TEF,45,Snom
TEF,46,Frosmoth
TEF,47,Wiglett
TEF,48,Finizen
TEF,49,Palafin
TEF,50,Walking Wake ex
TEF,51,Pikachu
TEF,52,Raichu
TEF,53,Electabuzz
TEF,54,Electivire
TEF,55,Charjabug
TEF,56,Vikavolt
TEF,57,Zeraora
TEF,58,Yamper
TEF,59,Boltund
TEF,60,Wugtrio ex
TEF,61,Iron Hands
TEF,62,Iron Thorns
TEF,63,Mr. Mime
TEF,64,Marill
TEF,65,Azumarill
TEF,66,Girafarig
TEF,67,Latias
TEF,68,Bronzor
TEF,69,Bronzong
TEF,70,Solosis
TEF,71,Duosion
TEF,72,Reuniclus
TEF,73,Elgyem
TEF,74,Beheeyem
TEF,75,Cutiefly
TEF,76,Ribombee
TEF,77,Scream Tail
TEF,78,Flutter Mane
TEF,79,Iron Valiant
TEF,80,Iron Valiant
TEF,81,Iron Crown ex
TEF,82,Meditite
TEF,83,Medicham
TEF,84,Relicanth
TEF,85,Drilbur
TEF,86,Excadrill
TEF,87,Golett
TEF,88,Golurk
TEF,89,Rockruff
TEF,90,Lycanroc
TEF,91,Mudbray
TEF,92,Mudsdale
TEF,93,Rolycoly
TEF,94,Carkol
TEF,95,Coalossal
TEF,96,Great Tusk
TEF,97,Great Tusk
TEF,98,Sandy Shocks
TEF,99,Iron Boulder ex
TEF,100,Ekans
TEF,101,Arbok
TEF,102,Gastly
TEF,103,Haunter
TEF,104,Gengar ex
TEF,105,Poochyena
TEF,106,Mightyena
TEF,107,Sableye
TEF,108,Farigiraf ex
