TEF,14,PRE,7
TEF,15,PRE,8
TEF,55,ASC,65
TEF,78,PRE,43
TEF,97,PRE,55
TEF,105,ASC,128
TEF,106,ASC,129
TEF,109,PRE,65
TEF,128,PRE,79
TEF,129,PRE,80
TEF,144,PRE,101
TEF,144,ASC,184
TEF,145,PRE,104
TEF,147,PRE,107
TEF,154,PRE,117
TEF,157,PRE,119
TEF,159,PRE,126
TWM,11,PRE,5
TWM,18,PRE,10
TWM,25,PRE,12
TWM,40,PRE,17
TWM,44,PRE,20
TWM,54,PRE,25
TWM,64,PRE,27
TWM,77,PRE,32
TWM,78,ASC,74
TWM,79,ASC,75
TWM,95,PRE,44
TWM,95,ASC,99
TWM,96,PRE,45
TWM,111,PRE,57
TWM,112,PRE,58
TWM,128,PRE,71
TWM,128,ASC,158
TWM,129,PRE,72
TWM,129,ASC,159
TWM,130,PRE,73
TWM,130,ASC,160
TWM,143,PRE,102
TWM,145,PRE,103
TWM,149,PRE,108
TWM,154,PRE,113
TWM,159,PRE,118
TWM,162,PRE,128
SFA,13,ASC,44
SFA,14,ASC,45
SFA,18,PRE,35
SFA,19,PRE,36
SFA,20,PRE,37
SFA,25,PRE,54
SFA,38,ASC,142
SFA,55,PRE,95
SFA,59,PRE,112
SFA,61,ASC,196
SCR,9,ASC,17
SCR,12,PRE,9
SCR,14,PRE,11
SCR,23,ASC,34
SCR,24,ASC,35
SCR,26,ASC,36
SCR,27,ASC,37
SCR,28,ASC,38
SCR,53,ASC,66
SCR,71,PRE,46
SCR,106,PRE,69
SCR,107,PRE,70
SCR,115,PRE,78
SCR,118,PRE,85
SCR,118,ASC,171
SCR,128,PRE,92
SCR,128,ASC,179
SCR,129,BLK,80
SCR,131,PRE,94
SCR,132,PRE,100
SCR,133,PRE,105
SCR,135,PRE,110
SCR,135,ASC,189
SCR,139,PRE,114
SCR,142,PRE,129
SSP,13,DRI,24
SSP,57,ASC,57
SSP,70,ASC,80
SSP,71,ASC,81
SSP,72,ASC,82
SSP,86,PRE,41
SSP,143,PRE,74
SSP,161,ASC,178
SSP,169,ASC,186
SSP,187,ASC,200
PRE,4,ASC,16
PRE,44,ASC,99
PRE,71,ASC,158
PRE,72,ASC,159
PRE,73,ASC,160
PRE,85,ASC,171
PRE,92,ASC,179
PRE,96,JTG,143
PRE,97,JTG,143
PRE,98,JTG,143
PRE,99,JTG,143
PRE,101,ASC,184
PRE,110,ASC,189
PRE,122,JTG,155
PRE,122,BLK,85
PRE,123,JTG,155
PRE,123,BLK,85
PRE,124,JTG,155
PRE,124,BLK,85
PRE,125,JTG,155
PRE,125,BLK,85
JTG,26,ASC,32
JTG,27,ASC,33
JTG,52,ASC,69
JTG,53,ASC,70
JTG,54,ASC,71
JTG,55,ASC,72
JTG,56,ASC,76
JTG,59,ASC,90
JTG,60,ASC,91
JTG,97,ASC,136
JTG,98,ASC,137
JTG,116,ASC,154
JTG,138,ASC,177
JTG,149,ASC,190
JTG,153,ASC,195
JTG,155,BLK,85
DRI,19,ASC,18
DRI,20,ASC,19
DRI,35,ASC,23
DRI,36,ASC,24
DRI,39,ASC,26
DRI,81,ASC,79
DRI,87,ASC,97
DRI,101,ASC,107
DRI,102,ASC,109
DRI,103,ASC,110
DRI,104,ASC,111
DRI,127,ASC,126
DRI,129,ASC,133
DRI,149,ASC,161
DRI,167,POR,76
DRI,170,ASC,201
DRI,171,ASC,202
DRI,173,ASC,203
DRI,174,ASC,204
DRI,175,ASC,205
DRI,176,ASC,207
DRI,177,ASC,208
DRI,178,ASC,209
DRI,180,ASC,210
DRI,182,ASC,217
BLK,30,ASC,59
BLK,31,ASC,60
BLK,79,ASC,181
BLK,86,ASC,216
WHT,85,ASC,212
MEP,1,MEG,10
MEP,2,MEG,41
MEP,3,MEG,56
MEP,4,MEG,74
MEP,4,ASC,105
MEP,7,ASC,39
MEP,8,ASC,40
MEP,9,MEG,56
MEP,10,MEG,76
MEP,10,ASC,112
MEP,11,MEG,100
MEP,12,MEG,77
MEP,12,ASC,113
MEP,13,MEG,3
MEP,14,PFL,20
MEP,15,PFL,45
MEP,16,PFL,53
MEP,17,PFL,68
MEP,22,PFL,19
MEP,23,PFL,13
MEP,24,PFL,18
MEP,25,MEG,104
MEP,26,PFL,40
MEP,27,PFL,55
MEP,27,ASC,124
MEP,29,PFL,13
MEP,30,ASC,22
MEP,31,ASC,155
MEP,32,MEG,60
MEP,32,ASC,89
MEP,33,MEG,77
MEP,33,ASC,113
MEG,58,ASC,87
MEG,59,ASC,88
MEG,60,ASC,89
MEG,74,ASC,105
MEG,75,ASC,106
MEG,76,ASC,112
MEG,77,ASC,113
MEG,113,ASC,180
MEG,114,ASC,183
MEG,116,ASC,187
MEG,117,ASC,188
MEG,119,ASC,192
MEG,121,ASC,193
MEG,122,ASC,194
MEG,124,ASC,199
MEG,131,ASC,213
PFL,54,ASC,123
PFL,55,ASC,124
PFL,56,ASC,125
ASC,198,POR,81
